rank,school,peer_rating,is_enroll,is_ft_students,is_ft_fac,iw_nonres_tuition,fr_sf_ratio,fr_pct_doc,fo_tot_pubs,fo_avg_pubs,fo_tot_res,phd_ug_gpa,sr_gre_v,sr_gre_q,sr_doc_acc
36,University of Illinois Urbana-Champaign,4.0,1280,411,77,29034,5.2,57.03,1155,15.00,13.21,3.4,,,29.60
36,University of Iowa,3.6,681,352,64,31777,2.1,44.35,756,11.81,13.75,3.4,154,153,44.40
36,Utah State University,3.2,1079,311,134,23936,1.5,24.10,446,3.33,40.86,3.7,157,150,19.60
40,Georgia State University,3.4,1419,721,113,30216,2.7,27.55,781,6.91,20.10,3.8,152,151,27.90
40,University of California--Davis,3.8,326,126,33,29017,3.2,38.96,630,19.09,10.76,3.2,,,26.00
40,University of South Carolina,3.2,1271,338,68,29760,3.1,49.33,713,10.49,17.82,3.6,150,147,62.50
43,Rutgers University--New Brunswick,3.6,978,258,39,31800,2.5,25.77,907,23.26,8.27,3.4,153,150,41.90
43,University of Colorado--Boulder,3.8,210,164,39,33174,1.5,41.90,843,21.62,6.43,3.7,,,13.40
43,University of Massachusetts--Boston,3.2,962,321,49,36879,4.0,24.01,316,6.45,23.48,3.1,151,148,19.90
46,Boston University (Wheelock),3.6,626,262,32,22920,2.0,17.25,673,21.03,9.20,3.5,159,158,9.30
46,Temple University,3.4,920,340,38,24858,2.7,20.87,569,14.97,13.25,3.5,155,150,20.60
46,University of Central Florida,3.1,1375,489,62,25752,4.1,15.78,628,10.13,20.17,3.8,149,147,50.00
49,Pennsylvania State University--University Park,3.9,1273,423,119,41602,2.2,29.85,1311,11.02,7.91,3.5,154,152,60.60
49,Purdue University--West Lafayette,3.3,823,98,64,18802,2.4,26.85,1367,21.36,17.78,3.8,151,153,44.00
49,San Diego State University,3.4,1387,489,79,18966,2.2,14.78,419,5.30,21.22,3.1,,,69.40
49,SMU (Simmons),2.8,465,122,16,42120,1.3,26.24,230,14.38,8.12,3.8,154,154,56.40
49,University of Mississippi,3.1,638,186,46,35064,2.1,31.50,247,5.37,16.65,3.7,148,143,42.20
54,University of Illinois--Chicago,3.6,662,203,47,25356,3.0,41.69,940,20.00,7.36,3.5,,,45.50
54,University of South Florida,3.0,994,374,94,21048,2.6,46.88,847,9.01,21.42,3.3,149,146,49.20
56,University of Alabama,3.2,1123,335,91,31460,2.0,41.05,730,8.02,12.28,3.1,152,152,37.60
56,University of Tennessee--Knoxville,3.3,898,372,73,39600,2.2,29.18,563,7.71,12.47,,157,146,56.40
58,George Washington University,3.4,1059,274,45,42648,3.2,35.41,528,11.73,5.07,3.3,151,148,41.10
58,University at Buffalo--SUNY,3.2,876,477,61,23100,3.5,26.83,490,8.03,6.38,3.4,150,151,40.30
58,University of Arizona,3.6,776,302,58,32290,2.3,43.43,848,14.62,8.74,3.8,156,154,56.90
58,University of Idaho,2.9,408,151,28,29148,2.0,34.56,239,8.54,21.45,3.7,,,30.90
58,University of Nebraska--Lincoln,3.5,734,233,80,23904,2.1,42.78,651,8.14,13.70,3.6,153,147,52.50
58,University of Vermont,3.1,247,48,45,41280,0.4,17.41,243,5.40,6.26,3.7,160,155,65.00
64,Clemson University,3.3,1324,198,49,12626,3.2,16.47,481,9.82,10.31,3.9,,,66.30
64,Syracuse University,3.5,502,244,45,43248,3.2,30.28,372,8.27,5.31,3.4,155,159,34.90
64,Texas Tech University,3.0,1424,294,70,18139,3.3,49.09,485,6.93,12.10,,154,146,56.70
64,University of Arkansas--Fayetteville,3.0,1282,407,83,28560,2.5,23.09,390,4.70,18.29,3.8,155,150,53.20
64,University of Hawaii--Manoa,3.0,888,193,91,22432,1.8,32.32,459,5.04,29.34,3.9,151,145,55.10
64,University of Kentucky,3.3,789,420,76,32896,3.3,44.99,743,9.78,8.25,,151,148,42.50
70,Howard University,3.5,205,119,32,44112,3.4,80.98,173,5.41,3.14,,149,145,96.70
70,Loyola Marymount University,2.9,854,540,30,43752,4.5,8.55,102,3.40,6.68,3,145,144,38.50
70,Oklahoma State University,3.1,1040,530,135,24720,2.3,43.08,309,2.29,12.51,3.3,150,154,40.50
70,University of Houston,3.2,882,305,49,16092,3.9,40.70,559,11.41,6.09,3.3,151,147,32.10
70,University of Louisville,3.1,1268,456,61,28340,2.5,16.09,406,6.66,12.24,3.3,155,148,51.20
70,University of North Carolina--Charlotte,3.1,1692,252,90,18482,2.1,15.96,737,8.19,10.39,,149,145,82.10
70,William & Mary,3.4,817,256,37,28305,3.5,24.48,186,5.03,6.87,3.3,152,146,67.60
77,Boise State University,2.8,553,99,44,24573,1.8,23.15,372,8.45,12.19,3.6,158,154,57.70
77,Lehigh University,3.0,414,129,26,14160,3.6,37.44,225,8.65,6.80,,,,18.50
77,West Virginia University,2.7,334,129,52,26082,0.8,19.76,446,8.58,5.34,3.8,,,57.10
80,Miami University,3.0,520,178,63,32698,1.4,21.92,381,6.05,6.49,3.2,141,141,60.00
80,University of California--Riverside,3.4,214,198,29,20136,3.2,34.11,312,10.76,2.89,3.6,158,153,11.10
