support,friends,female,age,education,attend,ideology,party
0,2,0,30,3,5,3,Independent
1,2,0,21,3,5,3,Independent
0,2,0,51,3,4,2,Republican
0,2,0,85,3,4,2,Republican
0,2,0,60,3,4,2,Independent
0,2,0,27,3,4,2,Independent
1,2,0,26,3,4,3,Republican
0,2,0,47,3,4,3,Independent
1,2,0,42,3,3,2,Independent
1,2,0,26,3,3,3,Republican
0,2,0,46,3,3,4,Independent
0,2,0,24,3,2,2,Independent
1,2,0,25,3,2,3,Republican
1,2,0,37,3,2,3,Democrat
1,2,0,28,3,2,4,Democrat
1,2,0,45,3,1,2,Republican
0,2,0,54,3,1,2,Republican
1,2,0,21,3,1,3,Independent
1,2,0,55,3,1,3,Independent
1,2,0,68,3,1,4,Democrat
1,2,0,73,3,0,3,Independent
1,2,0,56,3,0,5,Independent
0,2,0,78,4,5,1,Independent
0,2,0,28,4,4,2,Republican
0,2,0,40,4,4,2,Independent
1,2,0,75,4,4,3,Independent
1,2,0,30,4,3,2,Republican
1,2,0,70,4,3,2,Democrat
0,2,0,31,4,3,2,Independent
1,2,0,26,4,3,3,Republican
0,2,0,73,4,2,1,Republican
0,2,0,68,4,2,2,Independent
1,2,0,48,4,2,2,Independent
1,2,0,54,4,2,3,Independent
0,2,0,64,4,1,2,Republican
1,2,0,39,4,1,2,Democrat
1,2,0,66,4,0,3,Independent
1,2,0,33,4,0,3,Independent
0,2,0,68,5,5,1,Republican
0,2,0,35,5,5,1,Republican
0,2,0,26,5,5,1,Republican
1,2,0,54,5,5,2,Republican
0,2,0,58,5,5,2,Republican
0,2,0,52,5,4,1,Independent
1,2,0,58,5,4,2,Republican
0,2,0,44,5,4,2,Independent
0,2,0,65,5,4,2,Independent
0,2,0,46,5,4,3,Republican
0,2,0,43,5,4,3,Democrat
1,2,0,68,5,4,3,Democrat
1,2,0,57,5,4,3,Independent
0,2,0,51,5,4,3,Independent
1,2,0,64,5,4,4,Democrat
0,2,0,75,5,3,1,Independent
0,2,0,50,5,3,2,Republican
0,2,0,33,5,3,2,Independent
0,2,0,55,5,3,3,Republican
1,2,0,52,5,3,3,Independent
1,2,0,24,5,3,3,Independent
0,2,0,69,5,2,2,Republican
1,2,0,53,5,2,2,Democrat
1,2,0,58,5,2,3,Republican
1,2,0,29,5,2,3,Democrat
0,2,0,64,5,2,3,Independent
1,2,0,48,5,2,3,Independent
1,2,0,43,5,2,4,Democrat
1,2,0,52,5,1,2,Republican
0,2,0,69,5,1,3,Republican
1,2,0,63,5,1,3,Democrat
1,2,0,60,5,1,3,Independent
1,2,0,63,5,1,5,Democrat
1,2,0,61,5,0,3,Independent
1,2,0,63,5,0,4,Democrat
1,2,0,23,5,0,4,Democrat
1,2,0,24,5,0,5,Independent
0,2,0,75,6,4,2,Republican
1,2,0,62,6,4,3,Independent
0,2,0,72,6,3,2,Independent
1,2,0,41,6,1,3,Republican
0,2,0,52,7,5,1,Independent
0,2,0,64,7,5,2,Republican
0,2,0,57,7,5,2,Independent
0,2,0,53,7,4,2,Republican
0,2,0,55,7,4,2,Republican
0,2,0,34,7,4,3,Republican
1,2,0,79,7,4,3,Democrat
1,2,0,59,7,4,3,Independent
0,2,0,48,7,3,3,Democrat
0,2,0,63,7,3,3,Independent
1,2,0,66,7,2,2,Independent
0,2,0,99,7,2,2,Independent
1,2,0,41,7,2,3,Independent
1,2,0,55,7,2,3,Independent
1,2,0,85,7,1,2,Republican
1,2,0,60,7,1,2,Independent
1,2,0,89,7,1,3,Democrat
1,2,0,76,7,1,3,Democrat
1,2,0,36,7,1,4,Democrat
1,2,0,38,7,1,4,Independent
1,2,0,32,7,1,5,Democrat
1,2,0,26,7,0,2,Republican
1,2,0,62,7,0,3,Republican
1,2,0,58,7,0,4,Independent
1,2,0,72,7,0,4,Independent
1,2,0,62,7,0,4,Independent
1,2,0,60,7,0,5,Democrat
1,2,1,35,0,3,3,Independent
1,2,1,31,1,4,4,Independent
0,2,1,59,1,3,1,Republican
1,2,1,33,1,1,1,Independent
0,2,1,69,2,5,1,Republican
0,2,1,65,2,5,1,Republican
0,2,1,61,2,5,3,Democrat
1,2,1,75,2,5,4,Democrat
0,2,1,60,2,4,1,Republican
0,2,1,57,2,4,2,Democrat
1,2,1,85,2,4,2,Independent
0,2,1,80,2,4,2,Independent
0,2,1,63,2,4,3,Democrat
0,2,1,61,2,4,3,Democrat
1,2,1,28,2,4,3,Democrat
1,2,1,81,2,4,3,Independent
1,2,1,79,2,3,2,Democrat
0,2,1,67,2,3,3,Democrat
0,2,1,25,2,2,2,Republican
1,2,1,73,2,2,2,Republican
0,2,1,65,2,2,2,Republican
1,2,1,50,2,2,3,Republican
1,2,1,76,2,2,3,Democrat
1,2,1,21,2,2,4,Independent
0,2,1,53,2,2,5,Democrat
0,2,1,23,2,1,2,Independent
1,2,1,61,2,1,3,Independent
0,2,1,73,2,1,3,Independent
1,2,1,60,2,0,2,Independent
1,2,1,63,2,0,3,Republican
1,2,1,22,2,0,3,Independent
1,2,1,52,2,0,4,Democrat
1,2,1,19,2,0,4,Democrat
1,2,1,70,2,0,4,Democrat
1,2,1,50,2,0,5,Independent
0,2,1,66,3,5,2,Democrat
0,2,1,50,3,4,2,Republican
0,2,1,53,3,4,2,Democrat
0,2,1,54,3,4,3,Republican
1,2,1,39,3,4,3,Democrat
0,2,1,66,3,3,1,Democrat
1,2,1,60,3,3,3,Democrat
1,2,1,50,3,2,2,Republican
0,2,1,39,3,2,2,Republican
1,2,1,20,3,2,3,Republican
1,2,1,41,3,2,3,Democrat
1,2,1,70,3,2,3,Democrat
1,2,1,38,3,2,3,Independent
1,2,1,30,3,2,4,Democrat
1,2,1,59,3,2,4,Independent
1,2,1,70,3,1,2,Republican
1,2,1,80,3,1,2,Republican
1,2,1,67,3,1,3,Independent
1,2,1,19,3,1,3,Independent
1,2,1,23,3,1,3,Independent
1,2,1,23,3,1,4,Independent
1,2,1,51,3,0,3,Democrat
0,2,1,35,4,5,1,Republican
1,2,1,30,4,5,3,Democrat
0,2,1,78,4,4,1,Republican
0,2,1,28,4,4,1,Republican
1,2,1,55,4,4,2,Republican
1,2,1,42,4,4,3,Democrat
0,2,1,55,4,4,4,Republican
1,2,1,47,4,3,3,Republican
1,2,1,59,4,2,2,Republican
1,2,1,39,4,2,3,Republican
1,2,1,60,4,2,3,Republican
1,2,1,57,4,2,3,Democrat
1,2,1,50,4,2,4,Democrat
0,2,1,86,4,1,2,Independent
1,2,1,29,4,1,4,Republican
1,2,1,55,4,1,4,Democrat
0,2,1,59,5,5,2,Democrat
0,2,1,74,5,5,2,Independent
1,2,1,61,5,5,3,Democrat
1,2,1,65,5,5,3,Independent
0,2,1,48,5,4,1,Republican
0,2,1,65,5,4,2,Republican
0,2,1,50,5,4,2,Democrat
1,2,1,28,5,4,3,Independent
0,2,1,60,5,4,3,Independent
1,2,1,56,5,3,2,Republican
1,2,1,27,5,3,3,Independent
1,2,1,69,5,3,3,Independent
0,2,1,55,5,3,3,Independent
1,2,1,60,5,3,3,Independent
1,2,1,23,5,3,3,Independent
0,2,1,51,5,3,4,Democrat
1,2,1,68,5,3,4,Democrat
1,2,1,62,5,2,3,Republican
1,2,1,48,5,2,3,Independent
1,2,1,78,5,2,3,Independent
1,2,1,66,5,2,3,Independent
1,2,1,41,5,2,4,Republican
1,2,1,61,5,2,4,Democrat
1,2,1,43,5,2,4,Independent
1,2,1,62,5,2,5,Democrat
1,2,1,63,5,1,3,Independent
1,2,1,67,5,1,3,Independent
1,2,1,52,5,1,4,Democrat
1,2,1,65,5,1,4,Democrat
1,2,1,47,5,1,5,Democrat
0,2,1,67,5,0,2,Democrat
1,2,1,69,6,2,5,Democrat
1,2,1,41,6,1,4,Independent
1,2,1,42,7,4,2,Independent
0,2,1,69,7,4,3,Republican
1,2,1,57,7,4,5,Democrat
1,2,1,39,7,4,5,Democrat
1,2,1,57,7,3,2,Independent
1,2,1,33,7,3,3,Democrat
0,2,1,35,7,2,3,Independent
1,2,1,58,7,2,3,Independent
1,2,1,80,7,2,4,Democrat
1,2,1,68,7,1,3,Republican
1,2,1,62,7,1,3,Democrat
1,2,1,72,7,1,4,Democrat
1,2,1,35,7,1,4,Democrat
1,2,1,99,7,1,5,Democrat
1,2,1,62,7,0,4,Democrat
0,1,0,78,0,4,2,Republican
0,1,0,60,0,4,2,Independent
1,1,0,19,0,2,2,Republican
1,1,0,56,0,2,4,Independent
0,1,0,63,1,2,3,Democrat
1,1,0,26,1,0,3,Independent
0,1,0,80,2,5,1,Democrat
0,1,0,74,2,5,2,Republican
0,1,0,70,2,5,2,Democrat
0,1,0,69,2,5,3,Democrat
0,1,0,40,2,5,4,Republican
0,1,0,51,2,5,4,Independent
0,1,0,68,2,4,1,Republican
0,1,0,40,2,4,2,Democrat
0,1,0,45,2,3,3,Independent
0,1,0,60,2,3,3,Independent
0,1,0,82,2,2,1,Republican
0,1,0,70,2,2,2,Republican
0,1,0,33,2,2,2,Republican
1,1,0,24,2,2,3,Republican
0,1,0,70,2,2,3,Independent
0,1,0,32,2,2,3,Independent
0,1,0,48,2,2,4,Democrat
0,1,0,28,2,2,4,Independent
0,1,0,62,2,1,1,Republican
0,1,0,67,2,1,1,Democrat
0,1,0,68,2,1,2,Republican
0,1,0,67,2,1,2,Republican
0,1,0,59,2,1,2,Democrat
1,1,0,23,2,0,3,Democrat
1,1,0,61,2,0,3,Independent
0,1,0,45,3,5,5,Democrat
0,1,0,24,3,3,1,Republican
0,1,0,32,3,3,3,Republican
0,1,0,48,3,2,1,Democrat
0,1,0,65,3,2,2,Republican
0,1,0,18,3,2,3,Republican
1,1,0,24,3,2,3,Independent
0,1,0,57,4,5,2,Republican
0,1,0,66,4,4,1,Independent
1,1,0,35,4,4,5,Independent
0,1,0,64,4,3,2,Independent
0,1,0,30,4,3,4,Democrat
1,1,0,62,4,2,2,Independent
0,1,0,77,4,1,2,Independent
1,1,0,60,4,0,3,Republican
0,1,0,78,5,4,2,Independent
0,1,0,69,5,3,1,Republican
0,1,0,60,5,3,3,Democrat
1,1,0,43,5,3,3,Independent
0,1,0,60,5,3,3,Independent
1,1,0,66,5,2,1,Independent
0,1,0,52,5,1,3,Independent
1,1,0,21,5,1,3,Independent
0,1,0,58,7,5,1,Republican
0,1,0,96,7,4,2,Independent
1,1,0,47,7,0,3,Republican
0,1,1,19,1,4,4,Independent
0,1,1,68,1,2,4,Democrat
0,1,1,85,1,2,4,Democrat
0,1,1,75,1,1,4,Republican
1,1,1,34,2,5,3,Independent
0,1,1,83,2,4,1,Republican
0,1,1,56,2,4,1,Republican
0,1,1,72,2,4,2,Republican
0,1,1,31,2,4,4,Independent
1,1,1,62,2,3,3,Democrat
1,1,1,39,2,2,2,Democrat
1,1,1,84,2,2,3,Democrat
0,1,1,24,2,1,3,Independent
1,1,1,75,2,0,4,Democrat
1,1,1,73,2,0,4,Democrat
0,1,1,46,3,5,2,Democrat
0,1,1,43,3,5,2,Independent
0,1,1,81,3,5,3,Republican
0,1,1,80,3,4,3,Republican
0,1,1,65,3,4,3,Democrat
0,1,1,65,3,3,2,Republican
1,1,1,26,3,3,3,Independent
1,1,1,67,3,3,3,Independent
0,1,1,75,3,2,2,Republican
0,1,1,72,3,1,2,Republican
0,1,1,69,4,5,1,Republican
0,1,1,51,4,4,2,Republican
1,1,1,70,5,4,2,Independent
1,1,1,21,5,3,2,Republican
1,1,1,23,5,1,3,Democrat
1,1,1,27,5,1,4,Democrat
0,1,1,40,5,0,2,Independent
0,1,1,80,7,5,3,Independent
0,1,1,65,7,4,1,Republican
0,1,1,55,7,4,1,Republican
0,1,1,44,7,4,2,Republican
0,1,1,43,7,4,3,Republican
1,1,1,62,7,4,3,Republican
0,1,1,75,7,3,2,Independent
1,1,1,54,7,3,3,Democrat
0,1,1,44,7,1,2,Independent
1,1,1,36,7,1,3,Independent
0,0,0,60,5,4,2,Republican
